ID, Method, Class, Line, LineNo
44, void addField(java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, $b0 = -1, 194, 
45, void addInstalledAppVersionName(), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void addInstalledAppField(java.lang.String;java.lang.String)>("versionName"; "installedVersionName"), 71, 
46, void addInstalledAppField(java.lang.String;java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, virtualinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void appendField(java.lang.String;java.lang.String;java.lang.String)>($r1; "installed"; $r2), 51, 
47, void addInstalledAppField(java.lang.String;java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, virtualinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void leftJoinToInstalledTable()>(), 49, 
48, void addSuggestedApkVersionField(), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void addSuggestedApkField(java.lang.String;java.lang.String)>("version"; "suggestedApkVersion"), 144, 
49, void addSuggestedApkField(java.lang.String;java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, virtualinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void leftJoin(java.lang.String;java.lang.String;java.lang.String)>("fdroid_apk"; "suggestedApk"; $r6), 131, 
50, void addSuggestedApkField(java.lang.String;java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, r0.<org.fdroid.fdroid.data.AppProvider$Query: boolean isSuggestedApkTableAdded> = 1, 103, 
51, void addSuggestedApkField(java.lang.String;java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, if $z0 != 0 goto label1, 101, 
52, void addSuggestedApkField(java.lang.String;java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, $z0 = r0.<org.fdroid.fdroid.data.AppProvider$Query: boolean isSuggestedApkTableAdded>, 99, 
53, void leftJoin(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, specialinvoke r0.<org.fdroid.fdroid.data.QueryBuilder: void joinWithType(java.lang.String;java.lang.String;java.lang.String;java.lang.String)>("LEFT"; $r1; $r2; $r3), 433, 
