ID, Method, Class, Line,
97, void a(int;boolean), net.simonvt.numberpicker.NumberPicker, $i1 = r0.<net.simonvt.numberpicker.NumberPicker: int p>, 835, 
98, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, r0.<net.simonvt.numberpicker.s: long l> = $l11, 509, 
99, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $l11 = staticinvoke <android.view.animation.AnimationUtils: long currentAnimationTimeMillis()>(), 507, 
100, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, r0.<net.simonvt.numberpicker.s: int m> = $i8, 505, 
101, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $i8 = (int) $d1, 503, 
102, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d1 = 1000.0 * $d1, 501, 
103, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d1 = staticinvoke <java.lang.Math: double exp(double)>($d1), 499, 
104, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d1 = $d0 / $d1, 497, 
105, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d1 = $d1 - 1.0, 495, 
106, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d1 = (double) $f0, 493, 
107, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $f0 = <net.simonvt.numberpicker.s: float u>, 491, 
108, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d0 = staticinvoke <java.lang.Math: double log(double)>($d0), 489, 
109, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d0 = (double) $f0, 487, 
110, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $f0 = $f0 / $f1, 485, 
111, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $f1 = <net.simonvt.numberpicker.s: float v>, 483, 
112, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $f0 = $f0 * $f2, 481, 
113, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $f0 = <net.simonvt.numberpicker.s: float w>, 479, 
114, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $f2 = (float) $d0, 475, 
115, void a(int;int;int;int;int;int;int;int), net.simonvt.numberpicker.s, $d0 = staticinvoke <java.lang.Math: double sqrt(double)>($d0), 473, 
