ID, Method, Class, Line,
0, void startActivityForResult(android.content.Intent;int), com.ichi2.anki.AnkiActivity, specialinvoke r0.<android.support.v7.app.AppCompatActivity: void startActivityForResult(android.content.Intent;int)>($r1; $i0), , 973, 
57, com.ichi2.anki.multimediacard.fields.EFieldType[] values(), com.ichi2.anki.multimediacard.fields.EFieldType, $r0 = virtualinvoke $r1.<java.lang.Object: java.lang.Object clone()>(), 84, 
58, com.ichi2.anki.multimediacard.fields.EFieldType[] values(), com.ichi2.anki.multimediacard.fields.EFieldType, $r1 = <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType[] $VALUES>, 82, 
59, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, specialinvoke r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: void recreateEditingUi()>(), 460, 
60, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: int mFieldIndex> = i0, 458, 
61, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, i0 = virtualinvoke $r4.<android.content.Intent: int getIntExtra(java.lang.String;int)>("multim.card.ed.extra.field.index"; 0), 456, 
62, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r4 = virtualinvoke r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: android.content.Intent getIntent()>(), 454, 
63, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: com.ichi2.anki.multimediacard.IMultimediaEditableNote mNote> = $r7, 452, 
64, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r7 = (com.ichi2.anki.multimediacard.IMultimediaEditableNote) $r5, 450, 
65, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r5 = virtualinvoke $r4.<android.content.Intent: java.io.Serializable getSerializableExtra(java.lang.String)>("multim.card.ed.extra.whole.note"), 448, 
66, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r4 = virtualinvoke r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: android.content.Intent getIntent()>(), 446, 
67, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: com.ichi2.anki.multimediacard.fields.IField mField> = $r6, 444, 
68, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r6 = (com.ichi2.anki.multimediacard.fields.IField) $r5, 442, 
69, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r5 = virtualinvoke $r1.<android.os.Bundle: java.io.Serializable getSerializable(java.lang.String)>("multim.card.ed.extra.field"), 440, 
70, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r1 = virtualinvoke $r4.<android.content.Intent: android.os.Bundle getExtras()>(), 438, 
71, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r4 = virtualinvoke r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: android.content.Intent getIntent()>(), 436, 
72, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, virtualinvoke r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: void setSupportActionBar(android.support.v7.widget.Toolbar)>(r3), 433, 
73, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, if r3 == null goto label2, 431, 
74, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, r3 = (android.support.v7.widget.Toolbar) $r2, 429, 
75, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r2 = virtualinvoke $r2.<android.view.View: android.view.View findViewById(int)>(2131755165), 427, 
76, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $r2 = virtualinvoke r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: android.view.View findViewById(int)>(16908290), 425, 
77, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, virtualinvoke r0.<com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity: void setContentView(int)>(2130903121), 423, 
78, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, if $z0 == 0 goto label1, 416, 
79, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, $z0 = virtualinvoke $r1.<android.os.Bundle: boolean getBoolean(java.lang.String;boolean)>("key.edit.field.shut.off"; 0), 414, 
80, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, if $r1 == null goto label1, 412, 
81, void onCreate(android.os.Bundle), com.ichi2.anki.multimediacard.activity.MultimediaEditFieldActivity, specialinvoke r0.<com.ichi2.anki.AnkiActivity: void onCreate(android.os.Bundle)>($r1), 410, 
